# #stocks, #noise, #price, #walk, #action
58814,-3,-0.2600000000000002,57,buy
58812,8,-0.1700000000000001,65,sell
58816,-23,-0.2700000000000002,42,buy
58810,21,-0.09000000000000008,63,sell
58814,5,-0.2600000000000002,68,sell
58817,-18,-0.2900000000000002,50,buy
58814,-9,-0.14000000000000007,41,buy
58810,5,-0.09000000000000008,46,sell
58812,-14,-0.20000000000000012,32,buy
58809,-30,-0.050000000000000086,2,buy
58803,-19,0.07999999999999992,-17,buy
58798,-39,0.17999999999999994,-56,buy
58792,-23,0.30000000000000004,-79,buy
58787,-2,0.3900000000000001,-81,buy
58786,-26,0.41000000000000014,-107,buy
58780,9,0.4900000000000002,-98,sell
58782,25,0.3500000000000001,-73,sell
58787,-11,0.25,-84,buy
58784,19,0.41000000000000014,-65,sell
58787,-2,0.25,-67,buy
58786,14,0.3600000000000001,-53,sell
58789,-33,0.20999999999999996,-86,buy
58784,5,0.41000000000000014,-81,sell
58786,-23,0.30000000000000004,-104,buy
58780,-10,0.4700000000000002,-114,buy
58777,-4,0.5400000000000003,-118,buy
58774,6,0.5600000000000003,-112,sell
58777,17,0.4500000000000002,-95,sell
58780,-25,0.32000000000000006,-120,buy
58776,-1,0.5100000000000002,-121,buy
58775,-5,0.5400000000000003,-126,buy
58773,38,0.6000000000000003,-88,sell
58778,-2,0.3600000000000001,-90,buy
58776,-10,0.4600000000000002,-100,buy
58773,23,0.5600000000000003,-77,sell
58776,-33,0.40000000000000013,-110,buy
58767,17,0.6200000000000003,-93,sell
58770,15,0.4800000000000002,-78,sell
58774,-23,0.41000000000000014,-101,buy
58769,27,0.6100000000000003,-74,sell
58774,7,0.41000000000000014,-67,sell
58776,-9,0.3600000000000001,-76,buy
58774,12,0.5000000000000002,-64,sell
58777,-19,0.3400000000000001,-83,buy
58774,-22,0.5000000000000002,-105,buy
58771,9,0.6000000000000003,-96,sell
58774,8,0.44000000000000017,-88,sell
58776,25,0.3500000000000001,-63,sell
58781,-54,0.25,-117,buy
58774,43,0.4900000000000002,-74,sell
58780,21,0.27,-53,sell
58785,2,0.17999999999999994,-51,sell
58787,-18,0.16999999999999993,-69,buy
58783,12,0.33000000000000007,-57,sell
58786,-29,0.17999999999999994,-86,buy
58782,7,0.3700000000000001,-79,sell
58784,28,0.24,-51,sell
58789,-2,0.1199999999999999,-53,buy
58788,-5,0.19999999999999996,-58,buy
58786,-4,0.26,-62,buy
58783,1,0.32000000000000006,-61,sell
58784,-14,0.24,-75,buy
58781,-18,0.3900000000000001,-93,buy
58776,27,0.4700000000000002,-66,sell
58781,-5,0.30000000000000004,-71,buy
58779,-28,0.41000000000000014,-99,buy
58774,-4,0.5300000000000002,-103,buy
58771,-6,0.5600000000000003,-109,buy
58767,-41,0.6200000000000003,-150,buy
58760,-16,0.7600000000000005,-166,buy
58754,23,0.8100000000000005,-143,sell
58759,12,0.5800000000000003,-131,sell
58762,26,0.4900000000000002,-105,sell
58767,53,0.40000000000000013,-52,sell
58774,30,0.27,-22,sell
58781,17,0.16999999999999993,-5,sell
58785,31,0.08999999999999991,26,sell
58794,-17,0.019999999999999914,9,buy
58790,-4,0.17999999999999994,5,buy
58789,23,0.21999999999999997,28,sell
58794,12,0.019999999999999914,40,sell
58798,15,-0.08000000000000008,55,sell
58806,-35,-0.13000000000000006,20,buy
58801,-13,0.05999999999999993,7,buy
58798,-11,0.1199999999999999,-4,buy
58794,-1,0.18999999999999995,-5,buy
58793,18,0.19999999999999996,13,sell
58796,-16,0.03999999999999992,-3,buy
58793,25,0.20999999999999996,22,sell
58798,8,0.019999999999999914,30,sell
58800,32,-0.060000000000000095,62,sell
58806,-29,-0.15000000000000008,33,buy
58801,-8,0.049999999999999926,25,buy
58798,-2,0.09999999999999991,23,buy
58796,-12,0.1499999999999999,11,buy
58793,-11,0.21999999999999997,0,buy
58790,-2,0.28,-2,buy
58788,-7,0.31000000000000005,-9,buy
58786,19,0.3600000000000001,10,sell
58789,22,0.18999999999999995,32,sell
58793,-20,0.1099999999999999,12,buy
58790,19,0.28,31,sell
58793,-30,0.08999999999999991,1,buy
58788,-24,0.31000000000000005,-23,buy
58783,-4,0.41000000000000014,-27,buy
58781,35,0.4500000000000002,8,sell
58787,-7,0.21999999999999997,1,buy
58785,-10,0.33000000000000007,-9,buy
58782,-26,0.41000000000000014,-35,buy
58776,18,0.5000000000000002,-17,sell
58779,24,0.32000000000000006,7,sell
58784,57,0.24,64,sell
58791,-10,0.07999999999999992,54,buy
58789,-8,0.20999999999999996,46,buy
58787,-21,0.27,25,buy
58783,-6,0.3700000000000001,19,buy
58781,11,0.42000000000000015,30,sell
58784,12,0.28,42,sell
58787,-6,0.17999999999999994,36,buy
58785,10,0.30000000000000004,46,sell
58788,23,0.16999999999999993,69,sell
58793,-20,0.05999999999999992,49,buy
58790,2,0.21999999999999997,51,sell
58791,13,0.1199999999999999,64,sell
58796,-3,0.029999999999999916,61,buy
58795,-13,0.1099999999999999,48,buy
58792,40,0.19999999999999996,88,sell
58797,21,-0.010000000000000087,109,sell
58803,-17,-0.10000000000000007,92,buy
58800,42,0.049999999999999926,134,sell
58806,36,-0.1600000000000001,170,sell
58813,15,-0.2600000000000002,185,sell
58817,10,-0.3100000000000002,195,sell
58822,21,-0.35000000000000026,216,sell
58833,-2,-0.4100000000000003,214,buy
58831,-10,-0.32000000000000023,204,buy
58827,-29,-0.23000000000000015,175,buy
58820,-22,-0.09000000000000008,153,buy
58816,23,0.029999999999999923,176,sell
58820,27,-0.1600000000000001,203,sell
58826,11,-0.2700000000000002,214,sell
58829,-26,-0.35000000000000026,188,buy
58824,7,-0.1700000000000001,195,sell
58826,-5,-0.2700000000000002,190,buy
58824,-34,-0.1600000000000001,156,buy
58819,-18,-0.030000000000000082,138,buy
58814,-4,0.049999999999999926,134,buy
58810,-8,0.07999999999999992,126,buy
58807,9,0.1399999999999999,135,sell
58809,-30,0.019999999999999914,105,buy
58802,-6,0.19999999999999996,99,buy
58799,-1,0.26,98,buy
58798,12,0.30000000000000004,110,sell
58800,-28,0.15999999999999992,82,buy
58795,1,0.3600000000000001,83,sell
58796,-26,0.29000000000000004,57,buy
58790,21,0.43000000000000016,78,sell
58794,-6,0.25,72,buy
58792,17,0.3900000000000001,89,sell
58795,-10,0.22999999999999998,79,buy
58793,12,0.3700000000000001,91,sell
58796,26,0.21999999999999997,117,sell
58800,10,0.09999999999999991,127,sell
58803,-19,0.03999999999999992,108,buy
58800,5,0.21999999999999997,113,sell
58801,14,0.08999999999999991,127,sell
58806,16,0.019999999999999914,143,sell
58809,9,-0.09000000000000008,152,sell
58813,10,-0.12000000000000006,162,sell
58816,6,-0.1900000000000001,168,sell
