# #stocks, #noise, #price, #walk, #kn, #action
58774,2,0.22000000000000003,32,30,sell
58776,3,0.16999999999999998,34,33,sell
58778,2,0.12999999999999995,37,36,sell
58780,1,0.06999999999999998,39,39,sell
58781,3,0.05999999999999998,40,40,sell
58784,4,0.01999999999999997,43,45,sell
58786,2,-0.040000000000000036,47,50,sell
58787,-1,-0.09000000000000002,49,52,buy
58786,1,-0.020000000000000025,48,51,sell
58787,-1,-0.08000000000000003,49,52,buy
58786,1,-0.020000000000000025,48,51,sell
58787,1,-0.08000000000000003,49,52,sell
58790,2,-0.10000000000000002,50,55,sell
58792,2,-0.12000000000000001,52,58,sell
58793,1,-0.14,54,60,sell
58794,-1,-0.18000000000000005,55,61,buy
58793,-1,-0.09000000000000002,54,60,buy
58792,-1,-0.07000000000000003,53,59,buy
58791,1,-0.020000000000000025,52,58,sell
58792,-2,-0.08000000000000003,53,59,buy
58790,1,-0.010000000000000024,51,56,sell
58791,2,-0.08000000000000003,52,57,sell
58792,4,-0.11000000000000001,54,59,sell
58793,1,-0.16000000000000003,58,63,sell
58794,-2,-0.18000000000000005,59,64,buy
58793,3,-0.08000000000000003,57,62,sell
58795,-3,-0.19000000000000006,60,65,buy
58794,1,-0.10000000000000002,57,62,sell
58795,-4,-0.19000000000000006,58,63,buy
58793,2,-0.09000000000000002,54,58,sell
58795,-1,-0.19000000000000006,56,61,buy
58794,-1,-0.12000000000000001,55,60,buy
58793,-2,-0.09000000000000002,54,59,buy
58792,3,-0.06000000000000003,52,57,sell
58793,-1,-0.15000000000000002,55,60,buy
58792,1,-0.07000000000000003,54,59,sell
58793,1,-0.13,55,60,sell
58794,2,-0.18000000000000005,56,61,sell
58796,3,-0.20000000000000007,58,64,sell
58799,-1,-0.21000000000000008,61,67,buy
58798,1,-0.12000000000000001,60,66,sell
58799,2,-0.19000000000000006,61,67,sell
58803,-1,-0.2400000000000001,63,72,buy
58802,5,-0.18000000000000005,62,71,sell
58805,2,-0.2600000000000001,67,77,sell
58810,1,-0.27000000000000013,69,82,sell
58811,1,-0.29000000000000015,70,83,sell
58814,2,-0.30000000000000016,71,86,sell
58817,-1,-0.3200000000000002,73,89,buy
58816,-1,-0.2300000000000001,72,88,buy
58815,-1,-0.18000000000000005,71,87,buy
58814,-1,-0.17000000000000004,70,86,buy
58813,-3,-0.12000000000000001,69,85,buy
58810,2,-0.09000000000000002,66,80,sell
58812,2,-0.19000000000000006,68,83,sell
58814,3,-0.2500000000000001,70,86,sell
58816,1,-0.28000000000000014,73,90,sell
58817,2,-0.29000000000000015,74,91,sell
58821,-1,-0.3300000000000002,76,95,buy
58820,1,-0.2400000000000001,75,94,sell
58821,-2,-0.3300000000000002,76,95,buy
58819,1,-0.2300000000000001,74,92,sell
58820,-1,-0.29000000000000015,75,93,buy
58819,1,-0.2300000000000001,74,92,sell
58820,1,-0.29000000000000015,75,93,sell
58821,1,-0.3300000000000002,76,94,sell
58822,-2,-0.3400000000000002,77,95,buy
58821,-1,-0.27000000000000013,75,93,buy
58820,-1,-0.2400000000000001,74,92,buy
58819,-1,-0.2300000000000001,73,91,buy
58818,3,-0.18000000000000005,72,90,sell
58819,2,-0.2600000000000001,75,93,sell
58820,-1,-0.30000000000000016,77,95,buy
58819,2,-0.2300000000000001,76,94,sell
58820,-1,-0.30000000000000016,78,96,buy
58819,-1,-0.2300000000000001,77,95,buy
58818,-3,-0.18000000000000005,76,94,buy
58817,1,-0.15000000000000002,73,91,sell
58818,1,-0.2400000000000001,74,92,sell
58819,3,-0.2500000000000001,75,93,sell
58820,3,-0.31000000000000016,78,96,sell
58822,3,-0.3400000000000002,81,99,sell
58824,-1,-0.3700000000000002,84,103,buy
58823,-2,-0.28000000000000014,83,102,buy
58821,-2,-0.2300000000000001,81,99,buy
58819,-1,-0.17000000000000004,79,96,buy
58818,-1,-0.12000000000000001,78,95,buy
58817,-3,-0.11000000000000001,77,94,buy
58815,-2,-0.08000000000000003,74,90,buy
58814,1,-0.06000000000000003,72,88,sell
58815,-1,-0.13,73,89,buy
58814,2,-0.07000000000000003,72,88,sell
58815,3,-0.14,74,90,sell
58817,2,-0.19000000000000006,77,93,sell
58819,-2,-0.2500000000000001,79,96,buy
58817,1,-0.17000000000000004,77,93,sell
58818,-1,-0.2400000000000001,78,94,buy
58817,1,-0.18000000000000005,77,93,sell
58818,1,-0.2400000000000001,78,94,sell
58819,3,-0.2500000000000001,79,95,sell
58821,1,-0.28000000000000014,82,99,sell
58822,2,-0.29000000000000015,83,100,sell
58824,2,-0.3400000000000002,85,103,sell
58826,2,-0.3800000000000002,87,105,sell
58829,-2,-0.40000000000000024,89,109,buy
58828,1,-0.3200000000000002,87,107,sell
58829,-1,-0.40000000000000024,88,108,buy
58828,-1,-0.3300000000000002,87,107,buy
58827,2,-0.28000000000000014,86,106,sell
58828,1,-0.3500000000000002,88,108,sell
58829,-2,-0.40000000000000024,89,109,buy
58828,-1,-0.3200000000000002,87,107,buy
58827,2,-0.28000000000000014,86,106,sell
58828,-1,-0.3500000000000002,88,108,buy
58827,2,-0.28000000000000014,87,107,sell
58828,-3,-0.3500000000000002,89,109,buy
58827,-3,-0.2600000000000001,86,106,buy
58825,-1,-0.2300000000000001,83,103,buy
58824,1,-0.18000000000000005,82,102,sell
58825,-2,-0.2400000000000001,83,103,buy
58823,-1,-0.17000000000000004,81,100,buy
58822,1,-0.12000000000000001,80,99,sell
58823,-1,-0.19000000000000006,81,100,buy
58822,2,-0.12000000000000001,80,99,sell
58823,-2,-0.20000000000000007,82,101,buy
58821,-2,-0.11000000000000001,80,98,buy
58819,4,-0.09000000000000002,78,96,sell
58821,-1,-0.20000000000000007,82,101,buy
58820,2,-0.12000000000000001,81,100,sell
58821,3,-0.20000000000000007,83,102,sell
58823,1,-0.2500000000000001,86,105,sell
58825,-4,-0.27000000000000013,87,107,buy
58823,-1,-0.16000000000000003,83,102,buy
58822,1,-0.12000000000000001,82,101,sell
58823,-2,-0.19000000000000006,83,102,buy
58821,1,-0.11000000000000001,81,99,sell
58822,4,-0.19000000000000006,82,100,sell
58824,3,-0.2600000000000001,86,105,sell
58826,1,-0.29000000000000015,89,109,sell
58827,-1,-0.3300000000000002,90,110,buy
58826,-2,-0.2400000000000001,89,109,buy
58825,-2,-0.22000000000000008,87,107,buy
58823,-1,-0.17000000000000004,85,104,buy
58822,5,-0.12000000000000001,84,103,sell
58823,-2,-0.2300000000000001,89,108,buy
58821,3,-0.11000000000000001,87,105,sell
58822,-3,-0.21000000000000008,90,108,buy
58821,3,-0.10000000000000002,87,105,sell
58822,1,-0.21000000000000008,90,108,sell
58823,-4,-0.2400000000000001,91,109,buy
58822,2,-0.15000000000000002,87,105,sell
58824,3,-0.2500000000000001,89,108,sell
58826,-2,-0.29000000000000015,92,112,buy
58825,-1,-0.22000000000000008,90,110,buy
58824,-3,-0.18000000000000005,89,109,buy
58823,-1,-0.15000000000000002,86,106,buy
58822,-1,-0.12000000000000001,85,105,buy
58821,-1,-0.11000000000000001,84,104,buy
58819,-5,-0.09000000000000002,83,102,buy
58818,-2,-0.030000000000000027,78,97,buy
58816,-2,-0.010000000000000024,76,94,buy
58813,3,0.03999999999999998,74,90,sell
58814,-2,-0.05000000000000003,77,93,buy
58813,1,0.04999999999999998,75,91,sell
58814,-4,-0.030000000000000027,76,92,buy
58812,-1,0.059999999999999984,72,88,buy
58811,1,0.06999999999999998,71,87,sell
58812,-2,-0.02000000000000003,72,88,buy
58810,1,0.07999999999999997,70,85,sell
58811,2,-0.02000000000000003,71,86,sell
58812,3,-0.040000000000000036,73,88,sell
58815,1,-0.10000000000000002,76,93,sell
58816,1,-0.12000000000000001,77,94,sell
58817,-2,-0.13,78,95,buy
58816,3,-0.06000000000000003,76,93,sell
58817,2,-0.15000000000000002,79,96,sell
58819,-3,-0.19000000000000006,81,99,buy
58818,2,-0.10000000000000002,78,96,sell
58819,4,-0.20000000000000007,80,98,sell
58821,-1,-0.2600000000000001,84,103,buy
58820,4,-0.18000000000000005,83,102,sell
58823,-2,-0.27000000000000013,87,108,buy
58821,-1,-0.17000000000000004,85,105,buy
58820,-1,-0.12000000000000001,84,104,buy
58819,1,-0.11000000000000001,83,103,sell
58820,-2,-0.19000000000000006,84,104,buy
58819,3,-0.11000000000000001,82,102,sell
58820,-3,-0.21000000000000008,85,105,buy
58819,-3,-0.10000000000000002,82,102,buy
58817,2,-0.08000000000000003,79,98,sell
58819,6,-0.19000000000000006,81,101,sell
58823,1,-0.27000000000000013,87,110,sell
58824,-2,-0.29000000000000015,88,111,buy
58823,-1,-0.22000000000000008,86,109,buy
58822,-1,-0.18000000000000005,85,108,buy
58821,-3,-0.17000000000000004,84,107,buy
58819,1,-0.11000000000000001,81,104,sell
58820,-3,-0.19000000000000006,82,105,buy
58819,-3,-0.10000000000000002,79,102,buy
58817,-2,-0.08000000000000003,76,98,buy
58816,-1,-0.06000000000000003,74,96,buy
58815,-2,-0.020000000000000025,73,95,buy
58814,2,-2.42861286636753e-17,71,93,sell
58815,2,-0.09000000000000002,73,95,sell
58816,1,-0.11000000000000001,75,97,sell
58817,2,-0.13,76,98,sell
58819,1,-0.19000000000000006,78,101,sell
58820,-1,-0.2400000000000001,79,102,buy
58819,-3,-0.18000000000000005,78,101,buy
58818,-1,-0.10000000000000002,75,98,buy
58817,-1,-0.09000000000000002,74,97,buy
58816,1,-0.07000000000000003,73,96,sell
58817,-1,-0.13,74,97,buy
58816,-3,-0.07000000000000003,73,96,buy
58814,-1,-0.010000000000000024,70,93,buy
58813,3,0.029999999999999978,69,92,sell
58815,1,-0.10000000000000002,72,96,sell
58816,-1,-0.12000000000000001,73,97,buy
58815,-1,-0.020000000000000025,72,96,buy
58814,-2,-0.010000000000000024,71,95,buy
58812,-1,0.03999999999999998,69,92,buy
58811,2,0.06999999999999998,68,91,sell
58813,-1,-0.030000000000000034,70,94,buy
58812,-2,0.03999999999999997,69,93,buy
58810,-1,0.07999999999999997,67,90,buy
58809,-4,0.08999999999999997,66,89,buy
58807,1,0.13999999999999996,62,85,sell
58808,-2,0.07999999999999997,63,86,buy
58806,5,0.14999999999999997,61,83,sell
58808,1,0.049999999999999975,66,89,sell
58809,2,0.02999999999999997,67,90,sell
58811,2,-0.030000000000000034,69,93,sell
58812,1,-0.09000000000000002,71,95,sell
58814,2,-0.10000000000000002,72,97,sell
58816,2,-0.13,74,100,sell
58818,-1,-0.19000000000000006,76,103,buy
58817,-3,-0.12000000000000001,75,102,buy
58815,-1,-0.07000000000000003,72,98,buy
58814,1,-0.020000000000000025,71,97,sell
58815,1,-0.08000000000000003,72,98,sell
58816,-1,-0.13,73,99,buy
58815,2,-0.07000000000000003,72,98,sell
58816,3,-0.14,74,100,sell
